VREF
11000

SREF
1000000000

LOADS		
ID	P[k]	Q[k]
Time	0	
2	133,84	101,14
3	16,214	11,292
4	34,315	21,845
5	73,016	63,602
6	144,2	68,604
7	104,47	61,725
8	28,547	11,503
9	87,56	51,073
10	198,2	106,77
11	146,8	75,995
12	26,04	18,687
13	52,1	23,22
14	141,9	117,5
15	21,87	28,79
16	33,37	26,45
17	32,43	25,23
18	20,234	11,906
19	156,94	78,523
20	546,29	351,4
21	180,31	164,2
22	93,167	54,594
23	85,18	39,65
24	168,1	95,178
25	125,11	150,22
26	16,03	24,62
27	26,03	24,62
29	594,56	522,62
30	120,62	59
31	102,38	100
32	513,4	318,5
33	475,25	456,14
34	151,43	136,79
35	205,38	83
36	131,6	93
37	448,4	369,79
38	440,52	321,64
40	112,54	55
41	54	39
42	393,05	342,6
43	326,74	278,56
44	536,26	240,24
45	76	67
46	53,52	39,76
47	40	32
48	40	21
49	66	42
50	74	52
51	114,77	58
52	918,37	1205,1
53	210,3	146,66
54	66,68	57
55	42	40
56	433,74	283,41
58	62,1	26,86
59	92,46	88,38
60	85	55
61	345,3	332,4
62	22,5	16,83
63	81	49
64	95,86	91
65	62,92	47,7
66	478,8	463,74
67	120,94	52
68	139,11	100,34
69	391,78	193,5
70	28	27
71	53	25
72	66,89	39
73	467,5	395,14
74	594,85	239,74
75	132,5	84
76	53	22
77	869,79	615
78	31	30
79	192,39	122,43
80	65,75	45,37
81	238,15	223,22
82	294,55	162,47
83	485,57	437,92
84	243,53	183,03
85	243,53	183,03
86	134,25	119,29
87	22,71	27,96
88	50	27
89	383,78	257,16
90	49,64	20,6
91	22	12
93	62,93	42,96
94	30,67	34,93
95	62,53	66,79
96	114,57	81,748
97	81,292	66,526
98	31,733	15,96
99	33,32	60,48
100	531,28	224,85
101	507,03	367,42
102	26,39	11,7
103	45,99	30,392
105	100,66	47,572
106	456,48	350,3
107	522,56	449,29
108	408,43	168,46
109	141,48	134,25
110	104,43	66,024
111	96,793	83,647
112	493,92	419,34
113	225,38	135,88
114	509,21	387,21
115	188,5	173,46
116	918,03	898,55
117	305,08	215,37
118	54,38	40,97
119	211,14	192,9
120	67,009	53,336
121	162,07	90,321
122	48,785	29,156
123	33,9	18,98
