VREF
13800

SREF
100000000

LOADS
ID	P[k]		Q[k]
Time	0
2	47,78		19,009
3	42,551		16,929
4	87,022		34,622
5	311,31		123,855
6	148,869		59,228
7	238,672		94,956
9	62,299		24,786
10	124,598		49,571
12	140,175		55,768
13	116,813		46,474
15	249,203		99,145
17	291,447		115,952
18	303,72		120,835
20	215,396		85,695
21	198,586		79,007
27	30,127		14,729
28	230,972		112,92
29	60,256		29,458
30	230,972		112,92
32	120,507		58,915
34	56,981		27,857
35	364,665		178,281
37	124,647		60,939
38	56,981		27,857
40	85,473		41,787
42	396,735		193,96
44	181,152		88,563
45	242,172		118,395
46	75,316		36,821
49	1,254		0,531
50	6,274		2,66
52	117,88		49,971
53	62,668		26,566
54	172,285		73,034
55	458,556		194,388
56	262,962		111,473
57	235,761		99,942
59	109,215		46,298
62	72,809		30,865
63	258,473		109,57
64	69,169		29,322
65	21,843		9,26
68	20,527		8,702
69	150,548		63,819
70	220,687		93,552
71	92,384		39,163
73	226,693		96,098
76	294,016		116,974
77	83,015		33,028
78	83,015		33,028
80	103,77		41,285
81	176,408		70,184
82	83,015		33,028
83	217,917		86,698
84	23,294		9,267
85	5,075		2,019
86	72,638		28,899
87	405,99		161,523
122	100,182		42,468
123	142,523		60,417
124	96,042		40,713
125	300,454		127,366
127	141,238		59,873
128	279,847		118,631
129	87,312		37,013
130	243,849		103,371
131	247,75		105,025
134	89,878		38,101
135	1137,28		482,108
136	458,339		194,296
137	385,197		163,29
139	79,608		33,747
141	87,312		37,013
143	74,001		31,37
144	232,05		98,369
145	141,819		60,119
147	76,449		32,408
149	51,322		21,756
150	59,874		25,381
152	9,065		3,843
153	2,092		0,887
154	16,735		7,094
155	1506,522	638,634
156	313,023		132,694
157	79,831		33,842
158	51,322		21,756
160	202,435		85,815
162	60,823		25,784
163	45,618		19,338
200	157,07		66,584
202	250,148		106,041
204	69,809		29,593
205	32,072		13,596
206	61,084		25,894
208	94,622		46,26
209	49,858		24,375
210	123,164		60,214
211	78,35		38,304
212	145,475		71,121
214	21,369		10,447
215	74,789		36,564
217	227,926		111,431
218	35,614		17,411
219	249,295		121,877
220	316,722		154,842
221	333,817		163,199
222	249,295		121,877
