VREF
13800

SREF
100000000

BUSES
ID	TYPE	V	THETA
0	1	13800	0
1	2	13800	0
2	2	13800	0
3	2	13800	0
4	2	13800	0
5	2	13800	0
6	2	13800	0
7	2	13800	0
9	2	13800	0
10	2	13800	0
12	2	13800	0
13	2	13800	0
15	2	13800	0
17	2	13800	0
18	2	13800	0
20	2	13800	0
21	2	13800	0
24	2	13800	0
25	2	13800	0
26	2	13800	0
27	2	13800	0
28	2	13800	0
29	2	13800	0
30	2	13800	0
32	2	13800	0
33	2	13800	0
34	2	13800	0
35	2	13800	0
36	2	13800	0
37	2	13800	0
38	2	13800	0
39	2	13800	0
40	2	13800	0
41	2	13800	0
42	2	13800	0
43	2	13800	0
44	2	13800	0
45	2	13800	0
46	2	13800	0
48	2	13800	0
49	2	13800	0
50	2	13800	0
51	2	13800	0
52	2	13800	0
53	2	13800	0
54	2	13800	0
55	2	13800	0
56	2	13800	0
57	2	13800	0
58	2	13800	0
59	2	13800	0
61	2	13800	0
62	2	13800	0
63	2	13800	0
64	2	13800	0
65	2	13800	0
67	2	13800	0
68	2	13800	0
69	2	13800	0
70	2	13800	0
71	2	13800	0
72	2	13800	0
73	2	13800	0
75	2	13800	0
76	2	13800	0
77	2	13800	0
78	2	13800	0
80	2	13800	0
81	2	13800	0
82	2	13800	0
83	2	13800	0
84	2	13800	0
85	2	13800	0
86	2	13800	0
87	2	13800	0
121	2	13800	0
122	2	13800	0
123	2	13800	0
124	2	13800	0
125	2	13800	0
127	2	13800	0
128	2	13800	0
129	2	13800	0
130	2	13800	0
131	2	13800	0
133	2	13800	0
134	2	13800	0
135	2	13800	0
136	2	13800	0
137	2	13800	0
138	2	13800	0
139	2	13800	0
141	2	13800	0
142	2	13800	0
143	2	13800	0
144	2	13800	0
145	2	13800	0
146	2	13800	0
147	2	13800	0
148	2	13800	0
149	2	13800	0
150	2	13800	0
152	2	13800	0
153	2	13800	0
154	2	13800	0
155	2	13800	0
156	2	13800	0
157	2	13800	0
158	2	13800	0
159	2	13800	0
160	2	13800	0
162	2	13800	0
163	2	13800	0
164	2	13800	0
200	2	13800	0
201	2	13800	0
202	2	13800	0
203	2	13800	0
204	2	13800	0
205	2	13800	0
206	2	13800	0
207	2	13800	0
208	2	13800	0
209	2	13800	0
210	2	13800	0
211	2	13800	0
212	2	13800	0
214	2	13800	0
215	2	13800	0
217	2	13800	0
218	2	13800	0
219	2	13800	0
220	2	13800	0
221	2	13800	0
222	2	13800	0
223	2	13800	0

BRANCHES
SID	TID	SWITCHABLE	STATE
0	1	1		1
1	2	1		1
2	3	1		1
3	4	1		1
4	5	1		1
5	6	1		1
6	7	1		1
6	9	1		1
9	10	1		1
9	12	1		1
12	13	1		1
12	15	1		1
12	17	1		1
17	18	1		1
17	20	1		1
20	21	1		1
0	24	1		1
24	25	1		1
25	26	1		1
