VREF
11000,0

SREF
100000000,0

BUSES
ID	TYPE	V1          THETA
1	1	11000,0     0,0
2	2	11000,0     0,0
3	2	11000,0     0,0
4	2	11000,0     0,0
5	2	11000,0     0,0
6	2	11000,0     0,0
7	2	11000,0     0,0
8	2	11000,0     0,0
9	2	11000,0     0,0
10	2	11000,0     0,0
11	2	11000,0     0,0
12	2	11000,0     0,0
13	2	11000,0     0,0
14	2	11000,0     0,0
15	2	11000,0     0,0
16	2	11000,0     0,0
17	2	11000,0     0,0
18	2	11000,0     0,0
19	2	11000,0     0,0
20	2	11000,0     0,0
21	2	11000,0     0,0
22	2	11000,0     0,0
23	2	11000,0     0,0
24	2	11000,0     0,0
25	2	11000,0     0,0
26	2	11000,0     0,0
27	2	11000,0     0,0
28	2	11000,0     0,0

BRANCHES
SID	TID	SWITCHABLE	STATE
1	2	0		1
2	3	0		1
3	4	0		1
4	5	0		1
5	6	0		1
6	7	0		1
7	8	0		1
8	9	0		1
9	10	0		1
10	11	0		1
11	12	0		1
12	13	0		1
13	14	0		1
14	15	0		1
15	16	0		1
16	17	0		1
17	18	0		1
2	19	0		1
19	20	0		1
20	21	0		1
21	22	0		1
3	23	0		1
23	24	0		1
24	25	0		1
6	26	0		1
26	27	0		1
27	28	0		1

LINES SERIE
SID	TID	R[]	X[]
1	2	1,8216	0,758
2	3	2,227	0,9475
3	4	1,3662	0,5685
4	5	0,918	0,379
5	6	3,6432	1,516
6	7	2,7324	1,137
7	8	1,4573	0,6064
8	9	2,7324	1,137
9	10	3,6432	1,516
10	11	2,752	0,778
11	12	1,376	0,389
12	13	4,128	1,167
13	14	4,128	0,8558
14	15	3,0272	0,778
15	16	2,752	1,167
16	17	4,128	0,778
17	18	2,752	0,778
2	19	3,44	0,9725
19	20	1,376	0,389
20	21	2,752	0,778
21	22	4,9536	1,4004
3	23	3,5776	1,0114
23	24	3,0272	0,8558
24	25	5,504	1,556
6	26	2,752	0,778
26	27	1,376	0,389
27	28	1,376	0,389
