VREF
12660

SREF
1000000

BUSES
ID	TYPE	V 	THETA
1	1	12660	0
2	2	12660	0
3	2	12660	0
4	2	12660	0
5	2	12660	0
6	2	12660	0
7	2	12660	0
8	2	12660	0
9	2	12660	0
10	2	12660	0
11	2	12660	0
12	2	12660	0
13	2	12660	0
14	2	12660	0
15	2	12660	0
16	2	12660	0
17	2	12660	0
18	2	12660	0
19	2	12660	0
20	2	12660	0
21	2	12660	0
22	2	12660	0
23	2	12660	0
25	2	12660	0
24	2	12660	0
26	2	12660	0
27	2	12660	0
28	2	12660	0
29	2	12660	0
30	2	12660	0
31	2	12660	0
32	2	12660	0
33	2	12660	0

BRANCHES
SID	TID	SWITCHABLE	STATE
1	2	1		1
2	3	1		1
3	4	1		1
4	5	1		1
5	6	1		1
6	7	1		1
7	8	1		1
8	9	1		1
9	10	1		1
10	11	1		1
11	12	1		1
12	13	1		1
13	14	1		1
14	15	1		1
15	16	1		1
16	17	1		1
17	18	1		1
2	19	1		1
19	20	1		1
20	21	1		1
21	22	1		1
3	23	1		1
23	24	1		1
24	25	1		1
6	26	1		1
27	28	1		1
26	27	1		1
28	29	1		1
29	30	1		1
30	31	1		1
31	32	1		1
32	33	1		1
8	21	1		0
9	15	1		0
12	22	1		0
18	33	1		0
25	29	1		0

LINES SERIE
SID	TID	R[]	X[]
1	2	0,09	0,05
2	3	0,49	0,25
3	4	0,37	0,19
4	5	0,38	0,19
5	6	0,82	0,71
6	7	0,19	0,62
7	8	0,71	0,24
8	9	1,03	0,74
9	10	1,04	0,74
10	11	0,2	0,07
11	12	0,37	0,12
12	13	1,47	1,16
13	14	0,54	0,71
14	15	0,59	0,53
15	16	0,75	0,55
16	17	1,29	1,72
17	18	0,73	0,57
2	19	0,16	0,16
19	20	1,5	1,36
20	21	0,41	0,48
21	22	0,71	0,94
3	23	0,45	0,31
23	24	0,9	0,71
24	25	0,9	0,7
6	26	0,2	0,1
27	28	1,06	0,93
26	27	0,28	0,14
28	29	0,8	0,7
29	30	0,51	0,26
30	31	0,97	0,96
31	32	0,31	0,36
32	33	0,34	0,53
8	21	2	2
9	15	2	2
12	22	2	2
18	33	0,5	0,5
25	29	0,5	0,5
