VREF
11400

SREF
10000000

LOADS
ID	P[k]	Q[k]
Time	0
2	100	50
3	300	200
4	350	250
5	220	100
6	1100	800
7	400	320
8	300	200
9	300	230
10	300	260
12	1.200	800
13	800	600
14	700	500
16	300	150
17	500	350
18	700	400
19	1.200	1.000
20	300	300
21	400	350
22	50	20
23	50	20
24	50	10
25	50	30
26	100	60
27	100	70
28	1.800	1.300
29	200	120
31	1.800	1.600
32	200	150
33	200	100
34	800	600
35	100	60
36	100	60
37	20	10
38	20	10
39	20	10
40	20	10
41	200	160
42	50	30
44	30	20
45	800	700
46	200	150
50	200	160
51	800	600
52	500	300
53	500	350
54	500	300
55	200	80
57	30	20
58	600	420
60	20	10
61	20	10
62	200	130
63	300	240
64	300	200
66	50	30
68	400	360
71	2.000	1.500
72	200	150
75	1.200	950
76	300	180
78	400	360
79	2.000	1.300
80	200	140
81	500	360
82	100	30
83	400	360
