VREF
11400,0

SREF
10000000,0

LOADS
ID	P[k]	Q[k]
Time	95
83	198,0	178,2
82	44,5	13,35
81	177,5	127,8
80	110,99999999999999	77,69999999999999
79	929,9999999999999	604,5
78	194,0	174,6
76	55,5	33,3
75	318,0	251,75
72	73,0	54,75
71	410,0	307,5
68	94,0	84,6
66	34,5	20,7
64	166,49999999999997	110,99999999999999
63	88,5	70,8
62	49,0	31,849999999999998
61	6,8999999999999995	3,4499999999999997
60	10,1	5,05
58	338,99999999999994	237,29999999999998
57	13,65	9,1
55	43,0	17,2
54	147,5	88,5
53	54,99999999999999	38,5
52	242,5	145,5
51	459,99999999999994	345,0
50	98,0	78,4
46	57,00000000000001	42,75000000000001
45	228,00000000000003	199,50000000000006
44	5,25	3,5
42	15,0	9,0
41	67,0	53,6
40	4,1	2,05
39	6,799999999999999	3,3999999999999995
38	4,9	2,45
37	10,9	5,45
36	47,5	28,5
35	32,5	19,5
34	504,0	378,0
33	101,0	50,5
32	65,99999999999999	49,49999999999999
31	909,0	808,0
29	49,0	29,4
28	783,0	565,5
27	64,0	44,800000000000004
26	21,999999999999996	13,2
25	27,749999999999996	16,65
24	15,5	3,1
23	27,250000000000004	10,9
22	24,75	9,9
21	126,0	110,25000000000001
20	136,5	136,5
19	510,0	425,0
18	241,50000000000003	138,0
17	102,5	71,75000000000001
16	76,5	38,25
14	402,50000000000006	287,5
13	148,0	111,0
12	354,0	236,0
10	73,5	63,699999999999996
9	103,49999999999999	79,35
8	154,5	103,0
7	154,0	123,2
6	588,5	428,0
5	82,5	37,5
4	117,25000000000003	83,75
3	100,5	67,0
2	28,500000000000004	14,250000000000002
Time	94
83	188,0	169,20000000000002
82	59,00000000000001	17,700000000000003
81	245,0	176,4
80	40,0	28,0
79	820,0000000000001	533,0
78	128,0	115,2
76	135,0	81,0
75	528,0	418,0
72	92,0	69,0
71	1080,0	810,0
68	140,0	126,00000000000001
66	24,16666665	14,49999999
64	87,00000000000001	58,00000000000001
63	78,0	62,400000000000006
62	94,0	61,1
61	9,600000000000001	4,800000000000001
60	5,2	2,6
58	342,00000000000006	239,40000000000003
57	6,9	4,6000000000000005
55	72,00000000000001	28,800000000000004
54	205,00000000000003	123,00000000000001
53	215,0	150,50000000000003
52	290,00000000000006	174,00000000000003
51	360,0	270,0
50	54,0	43,2
46	86,00000000000001	64,50000000000001
45	432,0	378,0000000000001
44	18,000000000000004	12,000000000000002
42	19,0	11,4
41	100,0	80,0
40	10,8	5,4
39	8,6	4,3
38	11,200000000000001	5,6000000000000005
37	4,2	2,1
36	40,0	24,0
35	32,0	19,2
34	418,66666639999994	313,99999979999996
33	118,00000000000001	59,00000000000001
32	70,0	52,5
31	936,0	832,0
29	42,00000000000001	25,200000000000003
28	486,00000000000006	351,0
27	59,33333329999999	41,533333309999996
26	48,0	28,799999999999997
25	11,5	6,9
24	17,0	3,3999999999999995
23	26,0	10,4
22	28,000000000000004	11,200000000000001
21	132,0	115,50000000000003
20	171,00000000000003	171,00000000000003
19	444,0	370,0
18	413,0000000000001	236,00000000000003
17	240,00000000000003	168,00000000000003
16	159,0	79,5
14	350,00000000000006	250,0
13	448,00000000000006	336,00000000000006
12	696,0000000000001	464,00000000000006
10	126,00000000000001	109,20000000000002
9	150,0	115,0
8	141,0	94,0
7	160,0	128,0
6	539,0	392,0
5	99,0	45,0
4	140,00000000000003	100,0
3	108,00000000000001	72,00000000000001
2	50,0	25,0
Time	93
83	162,0	145,79999999999998
82	43,5	13,05
81	312,5	225,0
80	79,0	55,300000000000004
79	610,0	396,5
78	122,0	109,8
76	181,5	108,89999999999999
75	498,0	394,25
72	114,99999999999999	86,25
71	1250,0	937,5
68	217,99999999999997	196,2
66	20,83333335	12,500000009999999
64	97,49999999999999	64,99999999999999
63	76,5	61,2
62	75,0	48,75
61	5,5	2,75
60	8,7	4,35
58	189,0	132,3
57	13,649999999999999	9,1
55	55,00000000000001	22,0
54	167,49999999999997	100,49999999999999
